agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr
alice,0,28375510,20,0.0061,0.7083,1.7344,0.981,,
alice,0,28375510,21,0.0042,0.7267,2.0625,0.98,,
alice,0,28375510,22,0.0125,0.6704,1.7148,0.9791,,
alice,0,28375510,23,0.0104,0.7068,1.8262,0.9781,,
alice,0,28375510,24,0.0108,0.6626,1.6113,0.9772,,
alice,0,28375510,25,0.0158,0.7002,1.957,0.9762,,
alice,0,28375510,26,0.0168,0.6641,1.6758,0.9753,,
alice,0,28375510,27,0.0212,0.7072,1.8691,0.9744,,
alice,0,28375510,28,0.0178,0.7312,1.9863,0.9734,,
alice,0,28375510,29,0.0222,0.6835,1.8086,0.9725,,
alice,0,28375510,30,0.0202,0.6707,1.9297,0.9715,,
alice,0,28375510,31,0.0177,0.6929,1.9434,0.9706,,
alice,0,28375510,32,0.0193,0.6737,1.9375,0.9696,,
alice,0,28375510,33,0.0099,0.6818,1.9473,0.9687,,
alice,0,28375510,34,0.0204,0.6591,1.7617,0.9677,,
alice,0,28375510,35,0.0192,0.6897,1.875,0.9667,,
alice,0,28375510,36,0.0176,0.6822,1.8398,0.9658,,
alice,0,28375510,37,0.0236,0.6561,1.9238,0.9648,,
alice,0,28375510,38,0.0207,0.6533,2.0,0.9639,,
alice,0,28375510,39,0.0191,0.6388,1.7988,0.9629,,
alice,0,28375510,40,0.0225,0.641,1.918,0.962,,
alice,0,28375510,41,0.0261,0.6732,1.9668,0.961,,
alice,0,28375510,42,0.0207,0.6024,1.8086,0.9601,,
alice,0,28375510,43,0.0153,0.6521,1.8672,0.9591,,
alice,0,28375510,44,0.0151,0.6234,1.8926,0.9582,,
alice,0,28375510,45,0.0219,0.6509,1.9434,0.9573,,
alice,0,28375510,46,0.0138,0.5715,1.7383,0.9563,,
alice,0,28375510,47,0.0289,0.6108,1.832,0.9554,,
alice,0,28375510,48,0.0262,0.5477,1.6855,0.9544,,
alice,0,28375510,49,0.015,0.6822,2.2246,0.9535,,
alice,0,28375510,50,0.018,0.5917,1.8398,0.9525,,
alice,0,28375510,51,0.0103,0.5737,1.6777,0.9516,,
alice,0,28375510,52,0.0154,0.6596,2.0176,0.9506,,
alice,0,28375510,53,0.0117,0.5747,1.7188,0.9496,,
alice,0,28375510,54,0.014,0.6072,1.9609,0.9487,,
alice,0,28375510,55,0.0222,0.5898,1.9766,0.9477,,
alice,0,28375510,56,0.0163,0.5852,1.8867,0.9468,,
alice,0,28375510,57,0.0167,0.5618,1.9629,0.9458,,
